,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Homecooking,3rr4I5VFW8TJebCkbrQK3N,0.771,0.361,2,-8.882,1,0.136,0.599,0.917,0.353,0.161,153.989,3rr4I5VFW8TJebCkbrQK3N,spotify:track:3rr4I5VFW8TJebCkbrQK3N,https://api.spotify.com/v1/tracks/3rr4I5VFW8TJebCkbrQK3N,https://api.spotify.com/v1/audio-analysis/3rr4I5VFW8TJebCkbrQK3N,131944,4
1,Winning At Life,5zGhvl37kzqACtEnoVpdyz,0.688,0.232,4,-13.083,0,0.154,0.665,0.863,0.256,0.751,77.994,5zGhvl37kzqACtEnoVpdyz,spotify:track:5zGhvl37kzqACtEnoVpdyz,https://api.spotify.com/v1/tracks/5zGhvl37kzqACtEnoVpdyz,https://api.spotify.com/v1/audio-analysis/5zGhvl37kzqACtEnoVpdyz,119265,4
2,Count Basic,6BtRHhPR8PcfBBSAsY0ppd,0.677,0.31,10,-10.002,0,0.13,0.513,0.885,0.589,0.235,148.117,6BtRHhPR8PcfBBSAsY0ppd,spotify:track:6BtRHhPR8PcfBBSAsY0ppd,https://api.spotify.com/v1/tracks/6BtRHhPR8PcfBBSAsY0ppd,https://api.spotify.com/v1/audio-analysis/6BtRHhPR8PcfBBSAsY0ppd,108069,4
3,Dizzy,4jtGfSRuNkTBkF3I9qt0N5,0.7,0.434,10,-12.035,0,0.0371,0.236,0.924,0.0954,0.557,84.005,4jtGfSRuNkTBkF3I9qt0N5,spotify:track:4jtGfSRuNkTBkF3I9qt0N5,https://api.spotify.com/v1/tracks/4jtGfSRuNkTBkF3I9qt0N5,https://api.spotify.com/v1/audio-analysis/4jtGfSRuNkTBkF3I9qt0N5,82131,4
4,Part X,6r6IpMsJ2e6mpGmal4qLft,0.7,0.373,5,-9.237,1,0.198,0.0123,0.859,0.124,0.719,82.068,6r6IpMsJ2e6mpGmal4qLft,spotify:track:6r6IpMsJ2e6mpGmal4qLft,https://api.spotify.com/v1/tracks/6r6IpMsJ2e6mpGmal4qLft,https://api.spotify.com/v1/audio-analysis/6r6IpMsJ2e6mpGmal4qLft,126707,4
5,It's Our Time,4MeXAGHd3SYAgfx8YsTveT,0.759,0.235,5,-9.494,0,0.0856,0.408,0.836,0.163,0.396,77.988,4MeXAGHd3SYAgfx8YsTveT,spotify:track:4MeXAGHd3SYAgfx8YsTveT,https://api.spotify.com/v1/tracks/4MeXAGHd3SYAgfx8YsTveT,https://api.spotify.com/v1/audio-analysis/4MeXAGHd3SYAgfx8YsTveT,128143,4
6,Girls,2VKDgn8FyQQBWQqu7BY6Va,0.379,0.681,11,-6.172,1,0.0364,0.253,0.0,0.0968,0.372,186.863,2VKDgn8FyQQBWQqu7BY6Va,spotify:track:2VKDgn8FyQQBWQqu7BY6Va,https://api.spotify.com/v1/tracks/2VKDgn8FyQQBWQqu7BY6Va,https://api.spotify.com/v1/audio-analysis/2VKDgn8FyQQBWQqu7BY6Va,215067,3
7,Platinum,4r7AGbkZDeYII8J93kRcrY,0.665,0.621,0,-6.282,1,0.0253,0.0314,2.6e-05,0.12,0.408,100.038,4r7AGbkZDeYII8J93kRcrY,spotify:track:4r7AGbkZDeYII8J93kRcrY,https://api.spotify.com/v1/tracks/4r7AGbkZDeYII8J93kRcrY,https://api.spotify.com/v1/audio-analysis/4r7AGbkZDeYII8J93kRcrY,191013,4
8,Little Red Wagon,4sl4UWqzHSG7riBKdralwy,0.584,0.813,6,-7.221,1,0.0582,0.0297,0.000197,0.272,0.774,95.081,4sl4UWqzHSG7riBKdralwy,spotify:track:4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/tracks/4sl4UWqzHSG7riBKdralwy,https://api.spotify.com/v1/audio-analysis/4sl4UWqzHSG7riBKdralwy,204387,4
9,Smokin' and Drinkin' (feat. Little Big Town),13keyz9ikBe6ZpRasw7l4X,0.46,0.788,8,-8.49,1,0.0403,0.151,0.000425,0.339,0.495,157.887,13keyz9ikBe6ZpRasw7l4X,spotify:track:13keyz9ikBe6ZpRasw7l4X,https://api.spotify.com/v1/tracks/13keyz9ikBe6ZpRasw7l4X,https://api.spotify.com/v1/audio-analysis/13keyz9ikBe6ZpRasw7l4X,330693,4
